,fighter_name,Height,Weight,Reach,Stance,DOB,Height_cm,Weight_kg,Gender
10,Aaron Phillips,"5' 9""",135 lbs.,"70""",Southpaw,"Aug 05, 1989",175.26,61.23,male
11,Aaron Riley,"5' 8""",155 lbs.,"69""",Southpaw,"Dec 09, 1980",172.72,70.31,male
12,Aaron Rosa,"6' 4""",205 lbs.,"78""",Orthodox,"May 28, 1983",193.04,92.99,male
13,Aaron Simpson,"6' 0""",170 lbs.,"73""",Orthodox,"Jul 20, 1974",182.88,77.11,male
17,Abdul Razak Alhassan,"5' 10""",170 lbs.,"73""",Orthodox,"Aug 11, 1985",177.8,77.11,male
18,Abdul-Kerim Edilov,"6' 2""",205 lbs.,"78""",Orthodox,"Nov 25, 1991",187.96,92.99,male
20,Abel Trujillo,"5' 8""",155 lbs.,"70""",Orthodox,"Sep 18, 1983",172.72,70.31,male
24,Abu Azaitar,"5' 9""",185 lbs.,"76""",Orthodox,"Mar 10, 1986",175.26,83.91,male
26,Adam Antolin,"5' 5""",125 lbs.,"63""",Orthodox,"Feb 28, 1982",165.1,56.7,male
28,Adam Hunter,"6' 1""",185 lbs.,"73""",Orthodox,"Oct 16, 1983",185.42,83.91,male
32,Adam Milstead,"6' 3""",205 lbs.,"76""",Orthodox,"Jul 03, 1987",190.5,92.99,male
37,Adam Wieczorek,"6' 5""",250 lbs.,"81""",Orthodox,"Feb 05, 1992",195.57999999999998,113.4,male
38,Adam Yandiev,"5' 9""",185 lbs.,"74""",Orthodox,"Aug 07, 1988",175.26,83.91,male
40,Adlan Amagov,"6' 2""",170 lbs.,"76""",Orthodox,"Oct 30, 1986",187.96,77.11,male
44,Adriano Martins,"5' 10""",155 lbs.,"72""",Southpaw,"Dec 16, 1982",177.8,70.31,male
47,Aiemann Zahabi,"5' 8""",135 lbs.,"68""",Orthodox,"Nov 19, 1987",172.72,61.23,male
50,Akbarh Arreola,"5' 10""",155 lbs.,"71""",Southpaw,"Jan 14, 1983",177.8,70.31,male
51,Akihiro Gono,"5' 7""",170 lbs.,"68""",Switch,"Oct 07, 1974",170.18,77.11,male
53,Akira Corassani,"5' 8""",145 lbs.,"68""",Orthodox,"Aug 27, 1982",172.72,65.77,male
